"ID","Timestamp","Age","Country","EatMeat","OriginiInfluenceMarket","OriginiInfluenceRestaurant","BuyingFromWeb","WebSite","SpendForNoAntibiotics","QRcode","Satisfaction","WhySatisfation","MeatConsumptionReduction","Microbiome","Shop1","Shop2","Shop3","Shop4","Shop5","Advisor1","Advisor2","Advisor3","Advisor4","Advisor5","Advisor6","1","2","MeatPropensity","Awareness","EarlyAdoption"
0,"19/04/2021 16:14:25","18-29","Luxembourg","Less than three times a week","Fairly","A little","Yes","","Between 10 and 30% more","I have never scanned it","Yes","","Yes, I already have","I have never heard of the microbiome","Local market","Supermarket","","","","Internet forums","Personal trainer","Magazines","Social media ","","",0,1,-0.396894982182383,-0.20858174494141,0.107296579934392
1,"19/04/2021 16:47:48","18-29","Italy","At least three times a week","Fairly","Fairly","No","","Between 10 and 30% more","I have never scanned it","Yes","","Yes, I already have","I have heard about the microbiome, but I have never bought these products.","Butcher's","Supermarket","","","","","","","","","",1,0,0.368180820232487,0.0238810922646744,-0.0981586580674003
2,"19/04/2021 16:48:42","18-29","Italy","Less than three times a week","Not at all","Not at all","Yes","","> 30% more","I have never scanned it","Yes","","Yes, I already have","I have never heard of the microbiome","Supermarket","","","","","Nutritionist","Internet forums","","","","",0,1,-0.311808717370432,-1.41809599074461,0.18856383373349
3,"19/04/2021 16:48:51","18-29","Italy","Less than three times a week","Fairly","Fairly","No","","Between 10 and 30% more","I have never scanned it","Yes","","No","I have never heard of the microbiome","Supermarket","","","","","Internet forums","","","","","",1,0,-0.162896150904663,-0.0877699613086182,0.0973270431066442
4,"19/04/2021 16:49:41","18-29","Italy","Never","Fairly","Not at all","No","","Equal","I have never scanned it","Yes","","Yes, I already have","I have never heard of the microbiome","Supermarket","","","","","Internet forums","","","","","",1,0,-1.09506861326969,-0.571667550331173,0.0533449888001734
5,"19/04/2021 16:52:00","18-29","Italy","At least three times a week","A little","A little","No","","Between 1% and 10% more","I have never scanned it","Yes","","Yes, I would like to do it in the next few years","I have heard about the microbiome, but I have never bought these products.","Local market","Supermarket","","","","","","","","","",1,0,0.387721474595732,-0.833309570037299,0.17154382846366
6,"19/04/2021 16:52:38","18-29","Italy","Never","A little","Not at all","Yes","","Between 1% and 10% more","I have never scanned it","Yes","","Yes, I already have","I have heard about the microbiome, but I have never bought these products.","Supermarket","","","","","Internet forums","","","","","",1,0,-1.03744962118453,-0.951535665105187,0.166379180095057
7,"19/04/2021 16:54:24","18-29","Italy","At least three times a week","Fairly","Very","Yes","","Between 1% and 10% more","I have never scanned it","Yes","","No","I have never heard of the microbiome","Supermarket","","","","","Internet forums","friends","","","","",1,0,0.525284550170479,0.0583351884209415,0.217337535874796
8,"19/04/2021 16:58:53","30-49","Italy","At least three times a week","Fairly","Fairly","No","","Between 1% and 10% more","I have never scanned it","Yes","","No","I have heard about the microbiome, but I have never bought these products.","Supermarket","","","","","Internet forums","TV","Supermarket/shop website","","","",1,0,0.646189789780232,-0.161820676284792,0.207075026859618
9,"19/04/2021 16:59:56","18-29","Italy","Less than three times a week","A little","Not at all","Yes","","Between 1% and 10% more","I have never scanned it","Yes","","Yes, I would like to do it in the next few years","I have never heard of the microbiome","Supermarket","","","","","Internet forums","","","","","",1,0,-0.159823188051546,-1.047344680764,0.241795616270912
